CoC_Number,CoC_Name,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Overall_Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Overall_Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Overall_Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Overall_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals
KS-505,"Overland Park, Shawnee/Johnson County CoC",234,86,61,147,87,60,9,8,17,43,174,77,53,130,44,50,23,17,40,10,12,3,9
KS-507,Kansas Balance of State CoC,524,238,245,483,41,373,145,190,335,38,151,93,55,148,3,45,28,16,44,1,18,12,6
KY-500,Kentucky Balance of State CoC,4027,989,1427,2416,1611,1713,513,398,911,802,2314,476,1029,1505,809,599,136,286,422,177,259,117,142
KY-501,Louisville-Jefferson County CoC,2682,1264,1273,2537,145,1721,1101,475,1576,145,961,163,798,961,0,377,50,327,377,0,256,176,80
KY-502,Lexington-Fayette County CoC,1428,472,770,1242,186,910,412,348,760,150,518,60,422,482,36,187,19,157,176,11,127,87,40
LA-500,Lafayette/Acadiana CoC,631,159,298,457,174,305,70,144,214,91,326,89,154,243,83,104,26,53,79,25,47,16,31
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",1042,398,500,898,144,489,141,248,389,100,553,257,252,509,44,186,85,87,172,14,52,17,35
LA-503,New Orleans/Jefferson Parish CoC,1619,335,655,990,629,801,243,261,504,297,818,92,394,486,332,262,33,126,159,103,220,60,160
LA-505,Monroe/Northeast Louisiana CoC,276,93,108,201,75,109,60,27,87,22,167,33,81,114,53,58,11,30,41,17,8,3,5
LA-506,Slidell/Southeast Louisiana CoC,522,98,112,210,312,241,40,34,74,167,281,58,78,136,145,91,21,24,45,46,44,10,34
LA-507,Alexandria/Central Louisiana CoC,128,47,46,93,35,92,40,22,62,30,36,7,24,31,5,15,2,11,13,2,25,7,18
LA-509,Louisiana Balance of State CoC,1263,278,573,851,412,857,153,422,575,282,406,125,151,276,130,135,45,49,94,41,217,64,153
MA-500,Boston CoC,5198,3275,1739,5014,184,2683,1368,1131,2499,184,2515,1907,608,2515,0,885,647,238,885,0,915,834,81
MA-501,"Holyoke/Franklin, Hampden, Hampshire Counties CoC",1090,700,313,1013,77,443,112,271,383,60,647,588,42,630,17,181,156,19,175,6,85,42,43
MA-502,Lynn CoC,389,275,75,350,39,252,148,65,213,39,137,127,10,137,0,66,61,5,66,0,105,66,39
MA-503,Cape Cod Islands CoC,741,274,150,424,317,353,97,82,179,174,388,177,68,245,143,131,72,19,91,40,201,77,124
MA-504,Springfield/Hampden County CoC,696,403,273,676,20,329,215,94,309,20,367,188,179,367,0,135,67,68,135,0,107,89,18
MA-505,New Bedford CoC,380,123,176,299,81,279,49,149,198,81,101,74,27,101,0,48,36,12,48,0,27,27,0
MA-506,Worcester City & County CoC,1291,672,585,1257,34,586,318,234,552,34,705,354,351,705,0,246,125,121,246,0,129,112,17
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",237,49,161,210,27,181,25,134,159,22,56,24,27,51,5,23,12,10,22,1,31,18,13
MA-509,Cambridge CoC,486,284,140,424,62,359,193,104,297,62,127,91,36,127,0,51,36,15,51,0,182,120,62
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",901,609,215,824,77,384,208,99,307,77,517,401,116,517,0,194,147,47,194,0,163,111,52
MA-514,Framingham/Waltham CoC,636,569,60,629,7,173,106,60,166,7,463,463,0,463,0,172,172,0,172,0,90,83,7
