CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Total_Year_Round_Beds_RRH_AND_DEM,Total_Non_DV_Year_Round_Beds_RRH_AND_DEM,Total_HMIS_Year_Round_Beds_RRH_AND_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_RRH_AND_DEM,Total_Units_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_without_Children_RRH_AND_DEM,Total_Beds_for_Households_with_only_Children_RRH_AND_DEM,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Total_Year_Round_Beds_DEM,Total_Non_DV_Year_Round_Beds_DEM,Total_HMIS_Year_Round_Beds_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_DEM,Total_Units_for_Households_with_Children_DEM,Total_Beds_for_Households_with_Children_DEM,Total_Beds_for_Households_without_Children_DEM,Total_Beds_for_Households_with_only_Children_DEM,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH
LA-503,1157,1096,1002,0.866,557,585,15,83,267,888,2,528,507,0.9102,59,18,27,88,467,2,553,480,0.8205,56,179,406,0,15,15,1,0,0,15,0,524,515,515,0.9828,98,299,225,0,361,352,352,0.9751,51,136,225,0,163,163,163,1,47,163,0,0,2792,2792,1973,0.7067,206,653,2139,0,13,13,13,1,6,13,0,0
LA-504,495,483,431,0.8707,130,365,0,19,56,414,25,118,118,0.9077,0,0,8,28,90,12,365,313,0.8575,11,28,324,13,0,0,.,0,0,0,0,105,105,105,1,7,20,85,0,105,105,105,1,7,20,85,0,0,0,0,.,0,0,0,0,394,394,340,0.8629,32,94,300,0,0,0,0,.,0,0,0,0
LA-505,279,170,57,0.2043,106,173,0,58,193,74,12,72,20,0.1887,0,5,10,55,40,11,98,37,0.2139,48,138,34,1,0,0,.,0,0,0,0,117,117,109,0.9316,25,92,25,0,117,117,109,0.9316,25,92,25,0,0,0,0,.,0,0,0,0,116,116,112,0.9655,27,44,72,0,0,0,0,.,0,0,0,0
LA-506,293,214,88,0.3003,121,172,0,25,101,192,0,97,18,0.1488,0,0,8,45,76,0,117,70,0.407,17,56,116,0,0,0,.,0,0,0,0,134,134,134,1,32,115,19,0,134,134,134,1,32,115,19,0,0,0,0,.,0,0,0,0,372,372,301,0.8091,49,187,185,0,0,0,0,.,0,0,0,0
LA-507,121,121,60,0.4959,49,72,0,4,31,90,0,49,19,0.3878,0,16,3,7,42,0,72,41,0.5694,1,24,48,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,360,360,56,0.1556,70,226,134,0,0,0,0,.,0,0,0,0
LA-508,209,133,105,0.5024,85,124,0,38,132,77,0,59,49,0.5765,0,0,19,59,26,0,74,56,0.4516,19,73,51,0,0,0,.,0,0,0,0,34,34,34,1,2,16,18,0,34,34,34,1,2,16,18,0,0,0,0,.,0,0,0,0,260,226,226,0.8692,45,162,98,0,0,0,0,.,0,0,0,0
LA-509,210,149,24,0.1143,139,71,0,14,84,102,24,78,16,0.1151,0,4,14,84,39,16,71,8,0.1127,0,0,63,8,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,102,102,23,0.2255,40,54,48,0,0,0,0,.,0,0,0,0
MA-500,6281,6085,5353,0.8523,5219,1035,27,1403,4067,2214,0,5111,4561,0.8739,120,171,1253,3733,1486,0,947,775,0.7488,150,334,701,0,27,17,1,0,0,27,0,229,220,210,0.917,32,110,119,0,138,129,119,0.8623,7,19,119,0,91,91,91,1,25,91,0,0,5150,5150,4876,0.9468,445,1062,4088,0,2744,2744,1117,0.4071,862,2301,443,0
MA-502,535,535,495,0.9252,438,97,0,120,429,106,0,438,438,1,14,0,88,368,70,0,97,57,0.5876,32,61,36,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,196,186,186,0.949,44,82,114,0,106,106,96,0.9057,4,6,100,0
MA-503,320,260,241,0.7531,272,48,0,66,178,142,0,212,193,0.7096,0,17,66,178,94,0,48,48,1,0,0,48,0,0,0,.,0,0,0,0,65,65,65,1,22,50,15,0,65,65,65,1,22,50,15,0,0,0,0,.,0,0,0,0,251,251,251,1,9,18,233,0,25,25,25,1,0,0,25,0
MA-504,2299,2150,2032,0.8839,2098,201,0,641,1947,348,4,2031,1991,0.949,0,250,606,1862,232,4,119,41,0.204,35,85,116,0,0,0,.,0,0,0,0,1035,1035,1035,1,316,1035,0,0,1035,1035,1035,1,316,1035,0,0,0,0,0,.,0,0,0,0,806,806,545,0.6762,110,298,508,0,186,186,136,0.7312,35,112,74,0
MA-505,464,425,380,0.819,211,253,0,66,172,292,0,186,177,0.8389,0,0,60,161,50,0,239,203,0.8024,6,11,242,0,0,0,.,0,0,0,0,22,22,20,0.9091,10,22,0,0,22,22,20,0.9091,10,22,0,0,0,0,0,.,0,0,0,0,294,294,294,1,79,187,107,0,0,0,0,.,0,0,0,0
MA-506,1377,1317,1284,0.9325,874,490,13,306,1013,360,4,850,835,0.9554,0,277,231,790,80,4,454,436,0.8898,75,223,267,0,13,13,1,0,0,13,0,767,767,767,1,214,644,123,0,767,767,767,1,214,644,123,0,0,0,0,.,0,0,0,0,894,894,680,0.7606,142,331,563,0,40,40,40,1,0,0,40,0
MA-507,522,493,493,0.9444,218,304,0,55,149,373,0,189,189,0.867,58,96,50,136,82,0,304,304,1,5,13,291,0,0,0,.,0,0,0,0,5,5,5,1,0,0,5,0,5,5,5,1,0,0,5,0,0,0,0,.,0,0,0,0,545,545,245,0.4495,36,101,444,0,95,95,62,0.6526,0,0,95,0
MA-508,539,466,423,0.7848,428,111,0,131,401,138,0,410,409,0.9556,65,0,97,334,94,0,56,14,0.1261,34,67,44,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,36,36,36,1,0,0,36,0,91,73,73,0.8022,28,91,0,0
MA-509,440,410,356,0.8091,270,170,0,56,139,301,0,256,253,0.937,58,15,29,72,198,0,154,103,0.6059,27,67,103,0,0,0,.,0,0,0,0,26,26,26,1,6,14,12,0,26,26,26,1,6,14,12,0,0,0,0,.,0,0,0,0,422,404,249,0.59,18,49,373,0,165,160,21,0.1273,16,53,112,0
MA-510,1143,1097,1095,0.958,1038,99,6,407,981,162,0,1023,1023,0.9855,16,24,374,907,131,0,68,66,0.6667,33,74,25,0,6,6,1,0,0,6,0,38,38,38,1,0,0,38,0,0,0,0,.,0,0,0,0,38,38,38,1,0,0,38,0,504,504,337,0.6687,72,193,311,0,0,0,0,.,0,0,0,0
MA-511,982,930,917,0.9338,921,61,0,246,713,269,0,902,902,0.9794,33,655,228,667,254,0,28,15,0.2459,18,46,15,0,0,0,.,0,0,0,0,682,682,682,1,225,661,21,0,682,682,682,1,225,661,21,0,0,0,0,.,0,0,0,0,785,785,550,0.7006,134,378,407,0,0,0,0,.,0,0,0,0
MA-515,380,367,328,0.8632,286,94,0,94,287,93,0,273,273,0.9545,22,2,79,248,38,0,94,55,0.5851,15,39,55,0,0,0,.,0,0,0,0,340,340,340,1,121,340,0,0,340,340,340,1,121,340,0,0,0,0,0,.,0,0,0,0,171,171,171,1,30,89,82,0,0,0,0,.,0,0,0,0
MA-516,1514,1370,1252,0.8269,1249,265,0,471,1305,205,4,1219,1181,0.9456,22,489,391,1106,139,4,151,71,0.2679,80,199,66,0,0,0,.,0,0,0,0,105,105,105,1,37,103,2,0,105,105,105,1,37,103,2,0,0,0,0,.,0,0,0,0,989,979,594,0.6006,121,356,633,0,165,165,103,0.6242,47,133,32,0
MA-517,166,149,149,0.8976,106,60,0,29,71,95,0,89,89,0.8396,0,0,23,54,52,0,60,60,1,6,17,43,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,110,110,109,0.9909,12,47,63,0,18,18,18,1,2,4,14,0
MA-518,177,108,92,0.5198,105,72,0,47,116,61,0,88,88,0.8381,0,350,16,48,57,0,20,4,0.0556,31,68,4,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,142,142,106,0.7465,0,0,142,0,8,0,0,0,4,8,0,0
MA-519,243,215,185,0.7613,170,73,0,51,194,49,0,158,158,0.9294,0,0,31,140,30,0,57,27,0.3699,20,54,19,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,90,90,84,0.9333,8,28,62,0,0,0,0,.,0,0,0,0
MD-500,131,111,89,0.6794,80,51,0,20,97,34,0,60,38,0.475,22,16,5,48,32,0,51,51,1,15,49,2,0,0,0,.,0,0,0,0,16,16,16,1,7,15,1,0,12,12,12,1,5,11,1,0,4,4,4,1,2,4,0,0,82,82,82,1,14,44,38,0,34,34,34,1,9,25,9,0
MD-501,2751,2665,1877,0.6823,1171,1560,20,235,805,1938,8,1126,786,0.6712,120,57,57,300,863,8,1519,1071,0.6865,178,505,1055,0,20,20,1,0,0,20,0,521,499,398,0.7639,126,402,119,0,521,499,398,0.7639,126,402,119,0,0,0,0,.,0,0,0,0,4045,4045,2153,0.5323,531,1501,2543,1,0,0,0,.,0,0,0,0
MD-502,175,147,147,0.84,94,81,0,43,104,71,0,66,66,0.7021,66,0,26,46,48,0,81,81,1,17,58,23,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,154,154,154,1,31,123,31,0,0,0,0,.,0,0,0,0
MD-503,234,217,217,0.9274,142,92,0,62,163,71,0,125,125,0.8803,90,61,36,87,55,0,92,92,1,26,76,16,0,0,0,.,0,0,0,0,55,55,23,0.4182,17,49,6,0,55,55,23,0.4182,17,49,6,0,0,0,0,.,0,0,0,0,202,202,199,0.9851,33,94,108,0,0,0,0,.,0,0,0,0
MD-504,106,71,58,0.5472,76,30,0,26,74,32,0,64,54,0.7105,25,92,14,49,27,0,7,4,0.1333,12,25,5,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,98,98,98,1,17,49,49,0,0,0,0,.,0,0,0,0
MD-505,434,390,390,0.8986,387,47,0,51,264,170,0,358,358,0.9251,115,0,36,217,170,0,32,32,0.6809,15,47,0,0,0,0,.,0,0,0,0,267,267,267,1,65,200,67,0,267,267,267,1,65,200,67,0,0,0,0,.,0,0,0,0,459,459,234,0.5098,76,203,256,0,0,0,0,.,0,0,0,0
MD-506,127,111,111,0.874,70,32,25,57,79,48,0,54,54,0.7714,25,10,47,47,23,0,32,32,1,10,32,0,0,25,25,1,0,0,25,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,22,22,22,1,1,7,15,0,19,19,19,1,2,8,11,0
MD-507,134,112,112,0.8358,22,112,0,13,66,68,0,0,0,0,35,0,1,22,0,0,112,112,1,12,44,68,0,0,0,.,0,0,0,0,6,0,0,0,2,6,0,0,6,0,0,0,2,6,0,0,0,0,0,.,0,0,0,0,119,119,24,0.2017,5,11,108,0,0,0,0,.,0,0,0,0
MD-508,188,170,170,0.9043,143,45,0,24,134,54,0,125,125,0.8741,75,0,15,108,35,0,45,45,1,9,26,19,0,0,0,.,0,0,0,0,6,6,6,1,0,0,6,0,6,6,6,1,0,0,6,0,0,0,0,.,0,0,0,0,274,274,274,1,44,156,118,0,3,3,3,1,0,0,3,0
MD-509,260,231,231,0.8885,131,129,0,38,126,134,0,102,102,0.7786,0,0,8,37,94,0,129,129,1,30,89,40,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,44,44,44,1,5,9,35,0,0,0,0,.,0,0,0,0
MD-510,30,10,10,0.3333,21,9,0,9,11,19,0,1,1,0.0476,0,0,7,9,12,0,9,9,1,2,2,7,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,24,24,24,1,4,4,20,0,0,0,0,.,0,0,0,0
MD-511,86,86,86,1,43,43,0,16,39,47,0,43,43,1,88,0,4,9,34,0,43,43,1,12,30,13,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,105,105,105,1,26,69,36,0,0,0,0,.,0,0,0,0
MD-512,214,166,125,0.5841,159,55,0,25,116,98,0,119,88,0.5535,56,6,20,100,59,0,47,37,0.6727,5,16,39,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,111,111,111,1,26,37,74,0,0,0,0,.,0,0,0,0
MD-513,230,213,213,0.9261,184,46,0,30,83,147,0,167,167,0.9076,40,0,22,67,117,0,46,46,1,8,16,30,0,0,0,.,0,0,0,0,17,17,17,1,3,8,9,0,17,17,17,1,3,8,9,0,0,0,0,.,0,0,0,0,253,253,186,0.7352,43,136,117,0,0,0,0,.,0,0,0,0
MD-600,422,422,422,1,196,226,0,79,299,109,14,196,196,1,50,18,19,122,69,5,226,226,1,60,177,40,9,0,0,.,0,0,0,0,11,11,0,0,0,0,11,0,0,0,0,.,0,0,0,0,11,11,0,0,0,0,11,0,297,297,297,1,79,223,74,0,185,185,185,1,70,165,20,0
MD-601,616,541,541,0.8782,269,307,40,89,302,314,0,217,217,0.8067,98,259,41,133,136,0,284,284,0.9251,48,169,138,0,40,40,1,0,0,40,0,182,182,126,0.6923,55,166,16,0,160,160,104,0.65,48,144,16,0,22,22,22,1,7,22,0,0,1857,1857,1721,0.9268,323,1088,769,0,91,91,91,1,24,79,12,0
ME-500,1871,1512,1283,0.6857,890,981,0,360,1104,751,16,715,548,0.6157,0,49,154,473,401,16,797,735,0.7492,206,631,350,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,2061,2022,1943,0.9427,293,1160,901,0,157,154,146,0.9299,43,100,57,0
ME-502,613,597,597,0.9739,384,214,15,58,222,391,0,368,368,0.9583,0,92,30,136,248,0,214,214,1,28,86,128,0,15,15,1,0,0,15,0,79,79,79,1,33,48,31,0,79,79,79,1,33,48,31,0,0,0,0,.,0,0,0,0,500,500,500,1,41,108,392,0,0,0,0,.,0,0,0,0
MI-500,1613,856,649,0.4024,1117,496,0,305,874,714,25,578,459,0.4109,6,43,193,571,539,7,278,190,0.3831,112,303,175,18,0,0,.,0,0,0,0,318,318,318,1,73,246,72,0,318,318,318,1,73,246,72,0,0,0,0,.,0,0,0,0,723,723,723,1,132,379,344,0,56,56,56,1,14,49,7,0
MI-501,2260,2133,2112,0.9345,1087,1152,21,307,647,1593,20,1020,1020,0.9384,154,111,182,333,741,13,1092,1071,0.9297,125,314,831,7,21,21,1,0,0,21,0,530,530,505,0.9528,97,256,274,0,530,530,505,0.9528,97,256,274,0,0,0,0,.,0,0,0,0,2476,2476,1955,0.7896,290,850,1626,0,2806,2806,0,0,641,2163,643,0
MI-502,245,162,162,0.6612,120,108,17,46,145,88,12,73,73,0.6083,30,0,32,106,6,8,72,72,0.6667,14,39,65,4,17,17,1,0,0,17,0,178,178,178,1,35,136,42,0,178,178,178,1,35,136,42,0,0,0,0,.,0,0,0,0,1299,1299,1299,1,309,1027,272,0,0,0,0,.,0,0,0,0
MI-503,353,309,236,0.6686,176,152,25,27,90,256,7,132,132,0.75,80,5,18,61,109,6,152,79,0.5197,9,29,122,1,25,25,1,0,0,25,0,33,33,33,1,4,13,20,0,33,33,33,1,4,13,20,0,0,0,0,.,0,0,0,0,152,152,152,1,19,41,111,0,1095,1095,0,0,227,785,310,0
MI-504,295,245,242,0.8203,162,133,0,60,170,117,8,112,109,0.6728,81,0,16,55,101,6,133,133,1,44,115,16,2,0,0,.,0,0,0,0,36,36,36,1,8,31,5,0,36,36,36,1,8,31,5,0,0,0,0,.,0,0,0,0,585,585,585,1,96,303,282,0,1323,1323,1,0.0008,265,903,420,0
MI-505,312,280,266,0.8526,229,83,0,38,150,152,10,197,183,0.7991,50,5,25,100,119,10,83,83,1,13,50,33,0,0,0,.,0,0,0,0,3,3,3,1,1,3,0,0,3,3,3,1,1,3,0,0,0,0,0,.,0,0,0,0,366,366,366,1,76,234,132,0,1455,1455,0,0,310,1078,377,0
MI-506,846,684,684,0.8085,618,228,0,108,349,480,17,565,565,0.9142,0,35,50,177,426,15,119,119,0.5219,58,172,54,2,0,0,.,0,0,0,0,236,236,236,1,58,207,29,0,236,236,236,1,58,207,29,0,0,0,0,.,0,0,0,0,981,981,981,1,100,328,653,0,1903,1903,205,0.1077,439,1667,236,0
MI-507,490,390,390,0.7959,387,103,0,60,240,237,13,325,325,0.8398,0,0,26,172,202,13,65,65,0.6311,34,68,35,0,0,0,.,0,0,0,0,53,53,53,1,15,45,8,0,11,11,11,1,1,3,8,0,42,42,42,1,14,42,0,0,467,452,452,0.9679,80,275,192,0,1081,1081,61,0.0564,218,831,250,0
MI-508,383,349,261,0.6815,304,79,0,26,107,267,9,274,198,0.6513,0,58,23,97,203,4,75,63,0.7975,3,10,64,5,0,0,.,0,0,0,0,205,205,205,1,49,168,37,0,205,205,205,1,49,168,37,0,0,0,0,.,0,0,0,0,429,429,245,0.5711,36,130,299,0,1342,1342,26,0.0194,278,1032,310,0
MI-509,265,219,209,0.7887,195,70,0,35,109,151,5,149,149,0.7641,92,4,33,99,91,5,70,60,0.8571,2,10,60,0,0,0,.,0,0,0,0,295,295,295,1,67,278,17,0,295,295,295,1,67,278,17,0,0,0,0,.,0,0,0,0,885,885,714,0.8068,127,353,532,0,549,549,0,0,152,526,23,0
MI-510,395,277,277,0.7013,204,185,6,62,171,209,15,174,174,0.8529,0,5,31,73,121,10,97,97,0.5243,31,98,82,5,6,6,1,0,0,6,0,72,24,15,0.2083,16,61,11,0,72,24,15,0.2083,16,61,11,0,0,0,0,.,0,0,0,0,332,317,309,0.9307,53,159,173,0,170,170,0,0,10,35,135,0
MI-511,124,58,40,0.3226,76,48,0,22,86,34,4,38,20,0.2632,15,10,9,42,34,0,20,20,0.4167,13,44,0,4,0,0,.,0,0,0,0,11,11,11,1,1,5,6,0,11,11,11,1,1,5,6,0,0,0,0,.,0,0,0,0,189,189,7,0.037,43,144,45,0,0,0,0,.,0,0,0,0
MI-512,168,121,102,0.6071,124,44,0,28,79,83,6,95,76,0.6129,78,0,17,45,73,6,26,26,0.5909,11,34,10,0,0,0,.,0,0,0,0,10,10,10,1,3,6,4,0,10,10,10,1,3,6,4,0,0,0,0,.,0,0,0,0,243,243,212,0.8724,49,143,100,0,230,230,0,0,45,146,84,0
MI-513,59,24,22,0.3729,26,33,0,11,47,12,0,10,8,0.3077,20,0,1,16,10,0,14,14,0.4242,10,31,2,0,0,0,.,0,0,0,0,50,50,50,1,8,28,22,0,50,50,50,1,8,28,22,0,0,0,0,.,0,0,0,0,36,36,36,1,8,26,10,0,271,271,0,0,57,200,71,0
MI-514,237,181,141,0.5949,148,76,13,30,98,137,2,92,78,0.527,0,19,24,81,67,0,76,63,0.8289,6,17,57,2,13,0,0,0,0,13,0,5,5,5,1,1,5,0,0,5,5,5,1,1,5,0,0,0,0,0,.,0,0,0,0,149,149,0,0,0,0,149,0,127,106,27,0.2126,9,27,100,0
MI-515,210,192,156,0.7429,91,119,0,39,89,121,0,73,73,0.8022,46,0,30,54,37,0,119,83,0.6975,9,35,84,0,0,0,.,0,0,0,0,128,128,128,1,10,53,75,0,0,0,0,.,0,0,0,0,128,128,128,1,10,53,75,0,24,24,7,0.2917,2,7,17,0,0,0,0,.,0,0,0,0
MI-516,205,173,159,0.7756,156,49,0,33,111,75,19,124,124,0.7949,16,0,26,87,60,9,49,35,0.7143,7,24,15,10,0,0,.,0,0,0,0,66,66,66,1,13,42,24,0,66,66,66,1,13,42,24,0,0,0,0,.,0,0,0,0,194,194,112,0.5773,44,113,81,0,639,639,0,0,132,470,169,0
MI-517,205,152,152,0.7415,108,97,0,27,151,54,0,78,78,0.7222,0,10,2,68,40,0,74,74,0.7629,25,83,14,0,0,0,.,0,0,0,0,5,5,5,1,0,0,5,0,5,5,5,1,0,0,5,0,0,0,0,.,0,0,0,0,75,75,75,1,15,53,22,0,375,375,0,0,77,292,83,0
MI-518,92,43,43,0.4674,38,54,0,21,59,15,18,18,18,0.4737,12,0,11,24,4,10,25,25,0.463,10,35,11,8,0,0,.,0,0,0,0,9,9,8,0.8889,2,5,4,0,9,9,8,0.8889,2,5,4,0,0,0,0,.,0,0,0,0,25,25,25,1,2,5,20,0,229,229,0,0,50,175,54,0
MI-519,374,297,287,0.7674,147,227,0,68,227,147,0,127,127,0.8639,0,10,18,61,86,0,170,160,0.7048,50,166,61,0,0,0,.,0,0,0,0,25,25,25,1,3,18,7,0,25,25,25,1,3,18,7,0,0,0,0,.,0,0,0,0,108,108,103,0.9537,16,44,64,0,112,112,112,1,17,57,55,0
MI-523,130,82,79,0.6077,36,94,0,27,124,6,0,24,21,0.5833,0,0,8,31,5,0,58,58,0.617,19,93,1,0,0,0,.,0,0,0,0,26,26,26,1,5,18,8,0,26,26,26,1,5,18,8,0,0,0,0,.,0,0,0,0,259,259,15,0.0579,55,193,66,0,0,0,0,.,0,0,0,0
MN-500,2982,2748,2620,0.8786,1615,1367,0,408,1629,1316,37,1447,1447,0.896,100,212,167,613,989,13,1301,1173,0.8581,241,1016,327,24,0,0,.,0,0,0,0,1057,1057,1047,0.9905,267,915,142,0,1057,1057,1047,0.9905,267,915,142,0,0,0,0,.,0,0,0,0,6025,5967,3569,0.5924,751,2429,3551,45,16,16,16,1,0,0,16,0
MN-501,1333,1100,545,0.4089,808,525,0,195,622,663,48,604,180,0.2228,0,40,89,311,477,20,496,365,0.6952,106,311,186,28,0,0,.,0,0,0,0,424,424,424,1,120,358,66,0,424,424,424,1,120,358,66,0,0,0,0,.,0,0,0,0,2891,2891,2293,0.7932,454,1378,1511,2,18,18,18,1,3,7,11,0
MN-502,491,370,315,0.6415,250,241,0,103,382,109,0,175,120,0.48,23,8,44,168,82,0,195,195,0.8091,59,214,27,0,0,0,.,0,0,0,0,84,80,80,0.9524,23,73,11,0,84,80,80,0.9524,23,73,11,0,0,0,0,.,0,0,0,0,422,422,412,0.9763,83,222,200,0,188,188,154,0.8191,36,100,88,0
MN-503,490,405,371,0.7571,289,201,0,121,344,146,0,204,190,0.6574,0,27,60,182,107,0,201,181,0.9005,61,162,39,0,0,0,.,0,0,0,0,260,258,258,0.9923,91,245,15,0,260,258,258,0.9923,91,245,15,0,0,0,0,.,0,0,0,0,692,687,609,0.8801,135,359,332,1,14,14,14,1,2,4,10,0
MN-504,79,60,50,0.6329,27,52,0,15,49,30,0,25,15,0.5556,0,0,5,12,15,0,35,35,0.6731,10,37,15,0,0,0,.,0,0,0,0,52,52,52,1,12,43,9,0,52,52,52,1,12,43,9,0,0,0,0,.,0,0,0,0,158,136,128,0.8101,30,73,85,0,0,0,0,.,0,0,0,0
MN-505,489,428,302,0.6176,252,237,0,125,297,188,4,199,136,0.5397,42,0,70,155,93,4,229,166,0.7004,55,142,95,0,0,0,.,0,0,0,0,53,53,53,1,13,47,6,0,53,53,53,1,13,47,6,0,0,0,0,.,0,0,0,0,294,294,217,0.7381,51,149,143,2,230,222,179,0.7783,47,139,91,0
MN-506,257,230,220,0.856,108,149,0,57,166,79,12,87,77,0.713,20,25,20,58,40,10,143,143,0.9597,37,108,39,2,0,0,.,0,0,0,0,10,10,10,1,2,9,0,1,10,10,10,1,2,9,0,1,0,0,0,.,0,0,0,0,416,416,382,0.9183,111,340,76,0,16,16,16,1,0,0,16,0
MN-508,216,173,173,0.8009,136,80,0,46,128,88,0,93,93,0.6838,0,42,23,74,62,0,80,80,1,23,54,26,0,0,0,.,0,0,0,0,66,66,66,1,20,58,8,0,66,66,66,1,20,58,8,0,0,0,0,.,0,0,0,0,432,427,427,0.9884,94,329,103,0,79,79,79,1,29,79,0,0
MN-509,417,368,284,0.6811,188,229,0,94,247,122,48,139,103,0.5479,0,24,33,78,77,33,229,181,0.7904,61,169,45,15,0,0,.,0,0,0,0,23,23,23,1,6,23,0,0,23,23,23,1,6,23,0,0,0,0,0,.,0,0,0,0,752,752,642,0.8537,155,413,335,4,0,0,0,.,0,0,0,0
MN-511,117,105,91,0.7778,64,53,0,29,87,29,1,52,38,0.5938,0,0,17,45,18,1,53,53,1,12,42,11,0,0,0,.,0,0,0,0,66,66,66,1,18,59,7,0,66,66,66,1,18,59,7,0,0,0,0,.,0,0,0,0,174,174,174,1,46,125,49,0,0,0,0,.,0,0,0,0
MO-500,369,330,300,0.813,159,210,0,79,223,119,27,120,120,0.7547,48,0,35,121,31,7,210,180,0.8571,44,102,88,20,0,0,.,0,0,0,0,97,97,0,0,29,70,27,0,97,97,0,0,29,70,27,0,0,0,0,.,0,0,0,0,309,309,309,1,70,205,104,0,0,0,0,.,0,0,0,0
